Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
76;19700201640;"Cholesterol";journal;"20901283, 20901291";0,556;Q2;21;0;6;0;29;6;0,00;0,00;United States;Northern America;"Hindawi Publishing Corporation";"2010-2018";"Internal Medicine (Q2); Organic Chemistry (Q2); Endocrinology, Diabetes and Metabolism (Q3); Hematology (Q3)";"Chemistry; Medicine"
77;14456;"Polymer International";journal;"10970126, 09598103";0,555;Q2;110;224;535;12453;1714;522;3,44;55,59;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1991-2021";"Materials Chemistry (Q2); Organic Chemistry (Q2); Polymers and Plastics (Q2)";"Chemistry; Materials Science"
78;25788;"Bioorganic and Medicinal Chemistry Letters";journal;"14643405, 0960894X";0,536;Q2;154;546;1948;17914;5660;1947;2,90;32,81;United Kingdom;Western Europe;"Elsevier Ltd.";"1991-2021";"Organic Chemistry (Q2); Pharmaceutical Science (Q2); Biochemistry (Q3); Clinical Biochemistry (Q3); Drug Discovery (Q3); Molecular Biology (Q3); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
79;26420;"Organometallic Chemistry";book series;"03010074";0,517;Q2;13;7;6;748;11;5;1,83;106,86;United Kingdom;Western Europe;"Royal Society of Chemistry";"1998-2002, 2004-2005, 2007-2012, 2014, 2016, 2019, 2021";"Inorganic Chemistry (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2)";"Chemistry"
80;25799;"Biopolymers";journal;"00063525, 10970282";0,508;Q2;129;56;122;3499;296;118;2,04;62,48;United States;Northern America;"John Wiley &amp; Sons Inc.";"1963-2021";"Medicine (miscellaneous) (Q2); Organic Chemistry (Q2); Biochemistry (Q3); Biomaterials (Q3); Biophysics (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science; Medicine"
81;26512;"Tetrahedron";journal;"14645416, 00404020";0,507;Q2;226;519;1982;30905;4574;1970;2,39;59,55;United Kingdom;Western Europe;"Elsevier Ltd.";"1957-2021";"Organic Chemistry (Q2); Biochemistry (Q3); Drug Discovery (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
82;14805;"Steroids";journal;"0039128X, 18785867";0,501;Q2;107;95;443;4610;1264;437;2,69;48,53;United States;Northern America;"Elsevier Inc.";"1963-2021";"Organic Chemistry (Q2); Biochemistry (Q3); Clinical Biochemistry (Q3); Endocrinology (Q3); Pharmacology (Q3); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
83;25937;"Macromolecular Chemistry and Physics";journal;"10221352, 15213935";0,498;Q2;115;211;731;10124;1739;722;2,72;47,98;Germany;Western Europe;"Wiley-VCH Verlag";"1994-2021";"Condensed Matter Physics (Q2); Materials Chemistry (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Polymers and Plastics (Q2)";"Chemistry; Materials Science; Physics and Astronomy"
84;21880;"Cereal Chemistry";journal;"19433638, 00090352";0,488;Q2;105;127;312;5158;776;308;2,48;40,61;United States;Northern America;"John Wiley &amp; Sons Inc.";"1974, 1978-1979, 1981, 1983-1984, 1986, 1989, 1993-2021";"Food Science (Q2); Organic Chemistry (Q2)";"Agricultural and Biological Sciences; Chemistry"
85;24599;"Computational Biology and Chemistry";journal;"14769271";0,481;Q2;61;141;589;7500;1970;588;3,69;53,19;United Kingdom;Western Europe;"Elsevier Ltd.";"2003-2021";"Organic Chemistry (Q2); Biochemistry (Q3); Computational Mathematics (Q3); Structural Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Mathematics"
86;24642;"Journal of Molecular Structure";journal;"00222860";0,480;Q2;110;2061;4425;108884;14903;4418;3,57;52,83;Netherlands;Western Europe;"Elsevier";"1967-2022";"Analytical Chemistry (Q2); Inorganic Chemistry (Q2); Organic Chemistry (Q2); Spectroscopy (Q2)";"Chemistry"
87;24043;"Journal of Labelled Compounds and Radiopharmaceuticals";journal;"03624803, 10991344";0,468;Q2;48;58;258;1409;506;249;1,76;24,29;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1976-2021";"Analytical Chemistry (Q2); Organic Chemistry (Q2); Spectroscopy (Q2); Biochemistry (Q3); Drug Discovery (Q3); Radiology, Nuclear Medicine and Imaging (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
88;4000150314;"Chemical Biology and Drug Design";journal;"17470277";0,460;Q2;82;186;503;9818;1458;457;2,99;52,78;United Kingdom;Western Europe;"Blackwell";"2006-2021";"Organic Chemistry (Q2); Biochemistry (Q3); Drug Discovery (Q3); Molecular Medicine (Q3); Pharmacology (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
89;26514;"Tetrahedron Letters";journal;"00404039, 18733581";0,459;Q2;173;607;2491;23802;5501;2491;2,08;39,21;United Kingdom;Western Europe;"Elsevier Ltd.";"1959-2021";"Organic Chemistry (Q2); Biochemistry (Q3); Drug Discovery (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
90;24088;"Rapid Communications in Mass Spectrometry";journal;"09514198, 10970231";0,458;Q3;139;273;862;10027;1848;811;2,16;36,73;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1987-2021";"Analytical Chemistry (Q2); Spectroscopy (Q2); Organic Chemistry (Q3)";"Chemistry"
91;24819;"Natural Product Research";journal;"14786427, 14786419";0,446;Q3;58;1597;1882;33820;4961;1867;2,46;21,18;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003-2021";"Plant Science (Q2); Analytical Chemistry (Q3); Biochemistry (Q3); Organic Chemistry (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry"
92;15432;"Bioscience, Biotechnology and Biochemistry";journal;"09168451, 13476947";0,439;Q3;123;314;852;9231;1855;835;2,04;29,40;United Kingdom;Western Europe;"Oxford University Press";"1988-1989, 1992-2021";"Analytical Chemistry (Q3); Applied Microbiology and Biotechnology (Q3); Biochemistry (Q3); Biotechnology (Q3); Medicine (miscellaneous) (Q3); Organic Chemistry (Q3); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Immunology and Microbiology; Medicine"
93;25803;"Carbohydrate Research";journal;"00086215, 1873426X";0,439;Q3;138;146;540;7834;1462;539;2,98;53,66;United Kingdom;Western Europe;"Elsevier BV";"1965-2021";"Analytical Chemistry (Q3); Biochemistry (Q3); Medicine (miscellaneous) (Q3); Organic Chemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine"
94;21100466764;"Applied Biological Chemistry";journal;"24680842, 24680834";0,437;Q3;26;95;235;4045;625;233;2,90;42,58;Netherlands;Western Europe;"Springer Netherlands";"2016-2021";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Organic Chemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
95;13687;"Journal of Polymer Research";journal;"15728935, 10229760";0,437;Q3;60;478;935;22799;2629;934;2,81;47,70;Netherlands;Western Europe;"Springer Netherlands";"1994-2021";"Materials Chemistry (Q2); Polymers and Plastics (Q2); Organic Chemistry (Q3)";"Chemistry; Materials Science"
96;13540;"Advances in Polymer Technology";journal;"07306679, 10982329";0,431;Q3;47;38;574;1837;1510;573;2,35;48,34;United States;Northern America;"John Wiley &amp; Sons Inc.";"1981-2021";"Chemical Engineering (miscellaneous) (Q2); Polymers and Plastics (Q2); Organic Chemistry (Q3)";"Chemical Engineering; Chemistry; Materials Science"
97;25897;"Journal of Organometallic Chemistry";journal;"0022328X";0,430;Q3;127;300;1150;17543;2617;1136;2,25;58,48;Netherlands;Western Europe;"Elsevier";"1963-2021";"Inorganic Chemistry (Q2); Materials Chemistry (Q2); Biochemistry (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science"
98;25283;"Journal of Fluorine Chemistry";journal;"00221139";0,424;Q3;93;130;455;6458;975;453;2,16;49,68;Netherlands;Western Europe;"Elsevier BV";"1971-2021";"Biochemistry (Q3); Environmental Chemistry (Q3); Inorganic Chemistry (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Environmental Science"
99;25881;"JAOCS, Journal of the American Oil Chemists' Society";journal;"15589331, 0003021X";0,416;Q3;124;105;376;3973;740;368;1,83;37,84;Germany;Western Europe;"John Wiley &amp; Sons Inc.";"1947-2021";"Chemical Engineering (miscellaneous) (Q2); Organic Chemistry (Q3)";"Chemical Engineering; Chemistry"
100;21100398885;"Carbon Letters";journal;"22334998, 19764251";0,409;Q3;23;119;207;5848;523;205;2,98;49,14;Singapore;Asiatic Region;"";"2014-2021";"Materials Chemistry (Q2); Ceramics and Composites (Q3); Energy Engineering and Power Technology (Q3); Inorganic Chemistry (Q3); Organic Chemistry (Q3); Process Chemistry and Technology (Q3); Renewable Energy, Sustainability and the Environment (Q3)";"Chemical Engineering; Chemistry; Energy; Materials Science"
101;5300152528;"Journal of Essential Oil-Bearing Plants";journal;"0972060X";0,404;Q3;30;121;450;5374;974;450;2,14;44,41;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003-2021";"Analytical Chemistry (Q3); Biochemistry (Q3); Organic Chemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
102;29053;"Molecular Diversity";journal;"1573501X, 13811991";0,403;Q3;58;278;238;16289;723;237;3,24;58,59;Netherlands;Western Europe;"Springer Netherlands";"1995-1998, 2000, 2003-2021";"Catalysis (Q3); Drug Discovery (Q3); Information Systems (Q3); Inorganic Chemistry (Q3); Medicine (miscellaneous) (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Computer Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
103;16948;"Chirality";journal;"1520636X, 08990042";0,397;Q3;80;77;363;3389;801;359;1,97;44,01;United States;Northern America;"Wiley-Liss Inc.";"1989-2021";"Analytical Chemistry (Q3); Catalysis (Q3); Drug Discovery (Q3); Organic Chemistry (Q3); Pharmacology (Q3); Spectroscopy (Q3)";"Chemical Engineering; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
104;25941;"Macromolecular Research";journal;"15985032";0,395;Q3;52;98;508;4387;985;500;1,95;44,77;South Korea;Asiatic Region;"Polymer Society of Korea";"2002-2021";"Chemical Engineering (miscellaneous) (Q2); Materials Chemistry (Q2); Polymers and Plastics (Q2); Organic Chemistry (Q3)";"Chemical Engineering; Chemistry; Materials Science"
105;25898;"Journal of Peptide Science";journal;"10752617, 10991387";0,388;Q3;68;59;188;2687;384;186;2,07;45,54;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1995-2021";"Biochemistry (Q3); Drug Discovery (Q3); Medicine (miscellaneous) (Q3); Organic Chemistry (Q3); Pharmacology (Q3); Molecular Biology (Q4); Molecular Medicine (Q4); Structural Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
106;14123;"Lipids";journal;"15589307, 00244201";0,388;Q3;125;47;227;2499;389;217;1,52;53,17;Germany;Western Europe;"John Wiley &amp; Sons Inc.";"1966-2021";"Biochemistry (Q3); Organic Chemistry (Q3); Cell Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
107;17500155003;"Records of Natural Products";journal;"13076167";0,380;Q3;33;58;182;2283;390;182;1,95;39,36;Turkey;Middle East;"ACG Publications";"2009-2022";"Plant Science (Q2); Drug Discovery (Q3); Organic Chemistry (Q3); Pharmacology (Q3)";"Agricultural and Biological Sciences; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
108;25836;"Current Organic Chemistry";journal;"13852728, 18755348";0,379;Q3;107;130;462;14964;934;432;1,98;115,11;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"1997-2021";"Organic Chemistry (Q3)";"Chemistry"
109;23963;"Chromatographia";journal;"00095893, 16121112";0,372;Q3;69;109;447;3166;873;431;2,01;29,05;Germany;Western Europe;"Springer Vieweg";"1968-2021";"Analytical Chemistry (Q3); Biochemistry (Q3); Clinical Biochemistry (Q3); Organic Chemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
110;26900;"Fullerenes Nanotubes and Carbon Nanostructures";journal;"1536383X, 15364046";0,371;Q3;50;142;415;5878;856;412;1,95;41,39;United States;Northern America;"Taylor and Francis Ltd.";"2002-2021";"Atomic and Molecular Physics, and Optics (Q3); Materials Science (miscellaneous) (Q3); Nanoscience and Nanotechnology (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Chemistry; Materials Science; Physics and Astronomy"
111;14228;"Progress in Rubber, Plastics and Recycling Technology";journal;"14777606, 14782413";0,369;Q3;15;26;43;1050;92;43;2,17;40,38;United Kingdom;Western Europe;"RAPRA Technology Ltd.";"2003-2021";"Chemical Engineering (miscellaneous) (Q2); Polymers and Plastics (Q2); Materials Chemistry (Q3); Organic Chemistry (Q3)";"Chemical Engineering; Chemistry; Materials Science"
112;18384;"Medicinal Chemistry Research";journal;"10542523, 15548120";0,357;Q3;50;167;590;9086;1378;588;2,36;54,41;United States;Northern America;"Birkhauser Boston";"1994, 1996-2021";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Organic Chemistry (Q3)";"Chemistry; Pharmacology, Toxicology and Pharmaceutics"
113;26925;"International Journal of Chemical Kinetics";journal;"10974601, 05388066";0,350;Q3;71;101;241;4779;406;240;1,53;47,32;United States;Northern America;"John Wiley &amp; Sons Inc.";"1969-2021";"Biochemistry (Q3); Inorganic Chemistry (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
114;21100199834;"Central European Journal of Energetic Materials";journal;"17337178";0,345;Q3;28;26;109;786;134;109;1,12;30,23;Poland;Eastern Europe;"Instytut Przemyslu Organicznego";"2009, 2011-2021";"Materials Chemistry (Q3); Organic Chemistry (Q3)";"Chemistry; Materials Science"
115;26530;"Chinese Journal of Organic Chemistry";journal;"02532786";0,344;Q3;34;501;1272;26200;2092;1272;1,88;52,30;China;Asiatic Region;"Science Press";"1996-2021";"Organic Chemistry (Q3)";"Chemistry"
116;57844;"Journal of Molecular Modeling";journal;"16102940, 09485023";0,344;Q3;71;365;1064;18049;2029;1061;1,95;49,45;Germany;Western Europe;"Springer Verlag";"1996-2021";"Catalysis (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Inorganic Chemistry (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Chemical Engineering; Chemistry; Computer Science"
117;26971;"Journal of Physical Organic Chemistry";journal;"10991395, 08943230";0,343;Q3;68;125;331;6280;705;329;2,28;50,24;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1988-2021";"Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Chemistry"
118;26509;"Synthetic Communications";journal;"00397911, 15322432";0,343;Q3;76;290;868;15558;1836;867;2,17;53,65;United States;Northern America;"Taylor and Francis Ltd.";"1971-2021";"Organic Chemistry (Q3)";"Chemistry"
119;26416;"Organic Syntheses";book series;"23333553, 00786209";0,336;Q3;39;22;75;410;46;71;0,79;18,64;United States;Northern America;"John Wiley &amp; Sons Inc.";"1946, 1993, 1996-2000, 2002-2003, 2005-2014, 2016-2021";"Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Chemistry"
120;4700152613;"Current Organic Synthesis";journal;"15701794";0,330;Q3;49;58;233;3609;447;220;2,09;62,22;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"2005-2021";"Organic Chemistry (Q3); Biochemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
121;25865;"High Performance Polymers";journal;"09540083, 13616412";0,325;Q3;43;107;371;4474;678;369;1,91;41,81;United Kingdom;Western Europe;"SAGE Publications Ltd";"1989-2021";"Materials Chemistry (Q3); Organic Chemistry (Q3); Polymers and Plastics (Q3)";"Chemistry; Materials Science"
122;25882;"Journal of Heterocyclic Chemistry";journal;"0022152X";0,325;Q3;62;234;1081;11300;2279;1075;2,16;48,29;United States;Northern America;"Wiley-Blackwell";"1966-2021";"Organic Chemistry (Q3)";"Chemistry"
123;4700152614;"Mini-Reviews in Organic Chemistry";journal;"1570193X";0,318;Q3;41;65;162;5348;324;154;2,02;82,28;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"2005-2021";"Organic Chemistry (Q3)";"Chemistry"
124;25811;"Cellulose Chemistry and Technology";journal;"05769787";0,316;Q3;35;99;298;4277;462;297;1,52;43,20;Romania;Eastern Europe;"Editura Academiei Romane";"1972, 1976, 1983, 1985, 1989-1990, 1993, 1995-2021";"Materials Chemistry (Q3); Organic Chemistry (Q3)";"Chemistry; Materials Science"
125;11600153417;"Current Protocols in Nucleic Acid Chemistry";journal;"19349270, 19349289";0,316;Q3;20;0;64;0;44;64;0,56;0,00;United States;Northern America;"John Wiley &amp; Sons Inc.";"2000-2020";"Medicine (miscellaneous) (Q3); Organic Chemistry (Q3); Biochemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine"
126;13572;"Cellular Polymers";journal;"14782421, 02624893";0,315;Q3;28;16;32;660;55;32;1,95;41,25;United Kingdom;Western Europe;"SAGE Publications Ltd";"1982-1987, 1989, 1991-2021";"Organic Chemistry (Q3); Polymers and Plastics (Q3)";"Chemistry; Materials Science"
127;25860;"Grasas y Aceites";journal;"00173495, 19884214";0,311;Q3;49;39;150;1394;254;150;1,40;35,74;Spain;Western Europe;"CSIC Consejo Superior de Investigaciones Cientificas";"1991-2021";"Food Science (Q3); Organic Chemistry (Q3)";"Agricultural and Biological Sciences; Chemistry"
128;25944;"Macromolecular Theory and Simulations";journal;"15213919, 10221344";0,311;Q3;56;57;109;2313;175;107;1,68;40,58;Germany;Western Europe;"Wiley-VCH Verlag";"1992-2021";"Condensed Matter Physics (Q3); Inorganic Chemistry (Q3); Materials Chemistry (Q3); Organic Chemistry (Q3); Polymers and Plastics (Q3)";"Chemistry; Materials Science; Physics and Astronomy"
129;34545;"Journal of Asian Natural Products Research";journal;"10286020, 14772213";0,303;Q3;42;203;413;3906;658;387;1,47;19,24;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2021";"Complementary and Alternative Medicine (Q2); Analytical Chemistry (Q3); Drug Discovery (Q3); Medicine (miscellaneous) (Q3); Organic Chemistry (Q3); Pharmaceutical Science (Q3); Pharmacology (Q3); Molecular Medicine (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
130;24080;"Heterocyclic Communications";journal;"07930283, 21910197";0,300;Q3;24;16;105;707;181;105;1,94;44,19;Germany;Western Europe;"Walter de Gruyter GmbH";"1994-2021";"Organic Chemistry (Q3)";"Chemistry"
131;5000156907;"Polimeros";journal;"01041428";0,299;Q3;30;47;161;1984;265;146;1,51;42,21;Brazil;Latin America;"Associacao Brasileira de Polimeros";"2006-2021";"Chemical Engineering (miscellaneous) (Q3); Organic Chemistry (Q3)";"Chemical Engineering; Chemistry"
132;24156;"Journal of Carbohydrate Chemistry";journal;"15322327, 07328303";0,288;Q3;37;23;120;947;124;83;1,60;41,17;United States;Northern America;"Taylor and Francis Ltd.";"1982-2021";"Organic Chemistry (Q3); Biochemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
133;25824;"Chemistry of Heterocyclic Compounds";journal;"00093122, 15738353";0,281;Q3;37;171;614;5576;804;612;1,36;32,61;United States;Northern America;"Springer New York";"1965-2021";"Organic Chemistry (Q3)";"Chemistry"
134;21100409900;"Protection of Metals and Physical Chemistry of Surfaces";journal;"2070206X, 20702051";0,276;Q4;27;152;522;5106;648;522;1,01;33,59;United States;Northern America;"Pleiades Publishing";"2009-2021";"Materials Chemistry (Q3); Metals and Alloys (Q3); Surfaces, Coatings and Films (Q3); Organic Chemistry (Q4)";"Chemistry; Materials Science"
135;21100826823;"Iranian Journal of Catalysis";journal;"23454865, 22520236";0,264;Q4;23;38;128;2048;234;127;1,53;53,89;Iran;Middle East;"Islamic Azad University";"2012-2021";"Inorganic Chemistry (Q3); Catalysis (Q4); Organic Chemistry (Q4)";"Chemical Engineering; Chemistry"
136;25899;"Journal of Photopolymer Science and Technology";journal;"09149244";0,260;Q4;39;86;345;1981;281;344;0,79;23,03;Japan;Asiatic Region;"Tokai University";"1988-2020";"Materials Chemistry (Q3); Polymers and Plastics (Q3); Organic Chemistry (Q4)";"Chemistry; Materials Science"
137;79053;"Natural Product Sciences";journal;"12263907";0,258;Q4;28;40;137;1324;211;137;1,62;33,10;South Korea;Asiatic Region;"Korean Society of Pharmacognosy";"1997-2021";"Drug Discovery (Q4); Organic Chemistry (Q4)";"Chemistry; Pharmacology, Toxicology and Pharmaceutics"
138;21101028570;"Advances in Pharmacological and Pharmaceutical Sciences";journal;"26334682, 26334690";0,254;Q4;3;49;26;2216;50;26;1,92;45,22;United Kingdom;Western Europe;"Hindawi Limited";"2020-2021";"Pharmacology (medical) (Q3); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3); Biochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
139;22745;"Canadian Journal of Chemistry";journal;"00084042, 14803291";0,253;Q4;69;110;377;5421;351;368;0,96;49,28;Canada;Northern America;"National Research Council of Canada";"1951, 1960, 1965, 1973-2021";"Chemistry (miscellaneous) (Q3); Catalysis (Q4); Organic Chemistry (Q4)";"Chemical Engineering; Chemistry"
140;20300195027;"Macroheterocycles";journal;"19989539";0,253;Q4;18;31;150;1059;154;148;1,14;34,16;Russian Federation;Eastern Europe;"Ivanovo State University of Chemistry and Technology";"2008-2021";"Analytical Chemistry (Q4); Organic Chemistry (Q4)";"Chemistry"
141;25943;"Macromolecular Symposia";journal;"10221360, 15213900";0,247;Q4;79;219;454;4981;492;440;0,90;22,74;Germany;Western Europe;"Wiley-VCH Verlag";"1994-2021";"Materials Chemistry (Q3); Polymers and Plastics (Q3); Condensed Matter Physics (Q4); Organic Chemistry (Q4)";"Chemistry; Materials Science; Physics and Astronomy"
142;21100855815;"Current Organocatalysis";journal;"22133372, 22133380";0,246;Q4;12;32;76;1859;105;70;1,64;58,09;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"2014-2021";"Analytical Chemistry (Q4); Catalysis (Q4); Organic Chemistry (Q4)";"Chemical Engineering; Chemistry"
143;21100267917;"Carbohydrate Chemistry";book series;"2041353X, 14651963";0,244;Q4;12;13;9;893;11;8;0,00;68,69;United Kingdom;Western Europe;"Royal Society of Chemistry";"2011-2014, 2016-2018, 2021";"Biochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
144;23453;"Combinatorial Chemistry and High Throughput Screening";journal;"13862073, 18755402";0,244;Q4;66;168;286;7746;391;262;1,39;46,11;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"1998-2021";"Computer Science Applications (Q4); Drug Discovery (Q4); Medicine (miscellaneous) (Q4); Organic Chemistry (Q4)";"Chemistry; Computer Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
145;21101038537;"SynOpen";journal;"25099396";0,244;Q4;6;40;88;2823;66;87;0,66;70,58;Germany;Western Europe;"Georg Thieme Verlag";"2017-2021";"Materials Science (miscellaneous) (Q3); Biomaterials (Q4); Catalysis (Q4); Organic Chemistry (Q4)";"Chemical Engineering; Chemistry; Materials Science"
146;25758;"Advances in Heterocyclic Chemistry";book series;"00652725";0,242;Q4;50;19;54;3137;155;5;2,90;165,11;United States;Northern America;"Elsevier Inc.";"1963-2021";"Polymers and Plastics (Q3); Biochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science"
147;25288;"Phosphorus, Sulfur and Silicon and the Related Elements";journal;"10426507, 15635325";0,231;Q4;43;136;536;5033;615;532;1,11;37,01;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2021";"Biochemistry (Q4); Inorganic Chemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
148;26442;"Polycyclic Aromatic Compounds";journal;"15635333, 10406638";0,228;Q4;36;532;432;24475;738;431;1,67;46,01;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-2021";"Materials Chemistry (Q3); Polymers and Plastics (Q3); Organic Chemistry (Q4)";"Chemistry; Materials Science"
149;26397;"Organic Preparations and Procedures International";journal;"00304948, 19455453";0,224;Q4;52;59;170;2156;198;170;1,19;36,54;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1971-2021";"Organic Chemistry (Q4)";"Chemistry"
150;21100821485;"Targets in Heterocyclic Systems";book series;"17249449";0,221;Q4;19;23;56;1880;54;56;0,47;81,74;Italy;Western Europe;"Societa chimica italiana";"2002-2020";"Analytical Chemistry (Q4); Organic Chemistry (Q4); Process Chemistry and Technology (Q4)";"Chemical Engineering; Chemistry"
151;26483;"Russian Journal of Bioorganic Chemistry";journal;"10681620, 1608330X";0,216;Q4;27;150;359;6393;385;343;1,15;42,62;United States;Northern America;"Pleiades Publishing";"1996-2021";"Biochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
152;26485;"Russian Journal of Organic Chemistry";journal;"10704280, 16083393";0,208;Q4;36;257;941;7483;710;941;0,80;29,12;United States;Northern America;"Pleiades Publishing";"1996-2021";"Organic Chemistry (Q4)";"Chemistry"
153;26528;"Trends in Glycoscience and Glycotechnology";journal;"09157352, 18832113";0,205;Q4;37;30;202;948;127;154;0,18;31,60;Japan;Asiatic Region;"Gakushin Publishing Company";"1986, 1989-2021";"Biochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
154;21100909463;"Science of Synthesis";book series;"25667297, 25105469";0,203;Q4;4;1;150;32;33;131;0,24;32,00;Germany;Western Europe;"Georg Thieme Verlag";"2017-2020";"Organic Chemistry (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry"
155;21100850732;"Khimiya Rastitel'nogo Syr'ya";journal;"10295143, 10295151";0,194;Q4;7;144;429;4650;190;429;0,44;32,29;Russian Federation;Eastern Europe;"Altai State University";"2017-2021";"Biomaterials (Q4); Organic Chemistry (Q4); Plant Science (Q4)";"Agricultural and Biological Sciences; Chemistry; Materials Science"
156;25864;"Heterocycles";journal;"03855414";0,189;Q4;66;213;584;8822;406;578;0,75;41,42;Japan;Asiatic Region;"Japan Institute of Heterocyclic Chemistry";"1983-2021";"Analytical Chemistry (Q4); Organic Chemistry (Q4); Pharmacology (Q4)";"Chemistry; Pharmacology, Toxicology and Pharmaceutics"
157;22182;"Arkivoc";journal;"15517004, 15517012";0,188;Q4;64;152;361;7152;245;361;0,57;47,05;United States;Northern America;"Arkat USA";"2000-2021";"Organic Chemistry (Q4)";"Chemistry"
